X;Tipo;Provincia;Cantidad;Servicio
1;Acceso formal con consumo limitado;Buenos Aires;3;Electricidad
2;Acceso formal con consumo limitado;Chubut;1;Electricidad
3;Acceso formal con consumo limitado;Cordoba;1;Electricidad
4;Acceso formal con consumo limitado;Entre Rios;4;Electricidad
5;Acceso formal con consumo limitado;Mendoza;1;Electricidad
6;Acceso formal con consumo limitado;Misiones;31;Electricidad
7;Acceso formal con consumo limitado;Rio Negro;1;Electricidad
8;Acceso formal con consumo limitado;Salta;2;Electricidad
9;Acceso formal con consumo limitado;Santa Fe;1;Electricidad
10;Conexion a la red publica con medidor compartido;Buenos Aires;1;Electricidad
11;Conexion a la red publica con medidor compartido;Chubut;2;Electricidad
12;Conexion a la red publica con medidor compartido;Ciudad Autonoma de Buenos Aires;1;Electricidad
13;Conexion a la red publica con medidor compartido;Jujuy;2;Electricidad
14;Conexion a la red publica con medidor compartido;Mendoza;2;Electricidad
15;Conexion a la red publica con medidor compartido;Rio Negro;2;Electricidad
16;Conexion a la red publica con medidor comunitario;Buenos Aires;35;Electricidad
17;Conexion a la red publica con medidor comunitario;Chaco;1;Electricidad
18;Conexion a la red publica con medidor comunitario;Ciudad Autonoma de Buenos Aires;5;Electricidad
19;Conexion a la red publica con medidor comunitario;Cordoba;17;Electricidad
20;Conexion a la red publica con medidor comunitario;Entre Rios;8;Electricidad
21;Conexion a la red publica con medidor comunitario;Jujuy;17;Electricidad
22;Conexion a la red publica con medidor comunitario;Mendoza;9;Electricidad
23;Conexion a la red publica con medidor comunitario;Misiones;5;Electricidad
24;Conexion a la red publica con medidor comunitario;Neuquen;3;Electricidad
25;Conexion a la red publica con medidor comunitario;Rio Negro;8;Electricidad
26;Conexion a la red publica con medidor comunitario;Salta;6;Electricidad
27;Conexion a la red publica con medidor comunitario;San Luis;2;Electricidad
28;Conexion a la red publica con medidor comunitario;Santa Fe;9;Electricidad
29;Conexion a la red publica con medidor comunitario;Tierra del Fuego;1;Electricidad
30;Conexion a la red publica con medidor comunitario;Tucuman;5;Electricidad
31;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;Buenos Aires;589;Electricidad
32;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;Catamarca;18;Electricidad
33;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;Chaco;41;Electricidad
34;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;Chubut;7;Electricidad
35;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;Ciudad Autonoma de Buenos Aires;7;Electricidad
36;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;Cordoba;63;Electricidad
37;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;Corrientes;13;Electricidad
38;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;Entre Rios;54;Electricidad
39;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;Formosa;43;Electricidad
40;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;Jujuy;19;Electricidad
41;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;La Pampa;2;Electricidad
42;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;Mendoza;43;Electricidad
43;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;Misiones;63;Electricidad
44;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;Neuquen;15;Electricidad
45;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;Rio Negro;34;Electricidad
46;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;Salta;59;Electricidad
47;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;San Juan;20;Electricidad
48;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;San Luis;6;Electricidad
49;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;Santa Fe;66;Electricidad
50;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;Santiago del Estero;29;Electricidad
51;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;Tierra del Fuego;24;Electricidad
52;Conexion formal a la red publica de energia electrica con medidores domiciliarios.;Tucuman;163;Electricidad
53;Conexion formal con medidor prepago;Buenos Aires;8;Electricidad
54;Conexion irregular a la red publica;Buenos Aires;1088;Electricidad
55;Conexion irregular a la red publica;Catamarca;14;Electricidad
56;Conexion irregular a la red publica;Chaco;206;Electricidad
57;Conexion irregular a la red publica;Chubut;40;Electricidad
58;Conexion irregular a la red publica;Ciudad Autonoma de Buenos Aires;44;Electricidad
59;Conexion irregular a la red publica;Cordoba;110;Electricidad
60;Conexion irregular a la red publica;Corrientes;106;Electricidad
61;Conexion irregular a la red publica;Entre Rios;102;Electricidad
62;Conexion irregular a la red publica;Formosa;40;Electricidad
63;Conexion irregular a la red publica;Jujuy;50;Electricidad
64;Conexion irregular a la red publica;La Pampa;1;Electricidad
65;Conexion irregular a la red publica;La Rioja;12;Electricidad
66;Conexion irregular a la red publica;Mendoza;185;Electricidad
67;Conexion irregular a la red publica;Misiones;166;Electricidad
68;Conexion irregular a la red publica;Neuquen;65;Electricidad
69;Conexion irregular a la red publica;Rio Negro;105;Electricidad
70;Conexion irregular a la red publica;Salta;80;Electricidad
71;Conexion irregular a la red publica;San Juan;16;Electricidad
72;Conexion irregular a la red publica;San Luis;15;Electricidad
73;Conexion irregular a la red publica;Santa Cruz;6;Electricidad
74;Conexion irregular a la red publica;Santa Fe;254;Electricidad
75;Conexion irregular a la red publica;Santiago del Estero;20;Electricidad
76;Conexion irregular a la red publica;Tierra del Fuego;9;Electricidad
77;Conexion irregular a la red publica;Tucuman;32;Electricidad
78;Conexion regular a la red publica con medidores domiciliarios pero sin boleta/factura;Chaco;3;Electricidad
79;Conexion regular a la red publica con medidores domiciliarios pero sin boleta/factura;Chubut;1;Electricidad
80;Conexion regular a la red publica con medidores domiciliarios pero sin boleta/factura;Corrientes;1;Electricidad
81;Conexion regular a la red publica con medidores domiciliarios pero sin boleta/factura;Formosa;2;Electricidad
82;Conexion regular a la red publica con medidores domiciliarios pero sin boleta/factura;Jujuy;1;Electricidad
83;Conexion regular a la red publica con medidores domiciliarios pero sin boleta/factura;La Rioja;1;Electricidad
84;Conexion regular a la red publica con medidores domiciliarios pero sin boleta/factura;Mendoza;6;Electricidad
85;Conexion regular a la red publica con medidores domiciliarios pero sin boleta/factura;Neuquen;1;Electricidad
86;Conexion regular a la red publica con medidores domiciliarios pero sin boleta/factura;Rio Negro;1;Electricidad
87;Conexion regular a la red publica con medidores domiciliarios pero sin boleta/factura;Salta;1;Electricidad
88;Conexion regular a la red publica con medidores domiciliarios pero sin boleta/factura;Santa Fe;1;Electricidad
89;Conexion regular a la red publica con medidores domiciliarios pero sin boleta/factura;Tierra del Fuego;1;Electricidad
90;Conexion regular a la red publica con medidores domiciliarios pero sin boleta/factura;Tucuman;2;Electricidad
91;Energia solar;Salta;1;Electricidad
92;Generador electrico a combustion;Salta;1;Electricidad
93;No tiene conexion electrica;Buenos Aires;2;Electricidad
94;No tiene conexion electrica;Chaco;12;Electricidad
95;No tiene conexion electrica;Chubut;5;Electricidad
96;No tiene conexion electrica;Cordoba;3;Electricidad
97;No tiene conexion electrica;Entre Rios;1;Electricidad
98;No tiene conexion electrica;Formosa;1;Electricidad
99;No tiene conexion electrica;Jujuy;3;Electricidad
100;No tiene conexion electrica;La Pampa;1;Electricidad
101;No tiene conexion electrica;La Rioja;1;Electricidad
102;No tiene conexion electrica;Mendoza;1;Electricidad
103;No tiene conexion electrica;Misiones;2;Electricidad
104;No tiene conexion electrica;Neuquen;1;Electricidad
105;No tiene conexion electrica;Rio Negro;1;Electricidad
106;No tiene conexion electrica;Salta;4;Electricidad
107;No tiene conexion electrica;Santa Fe;10;Electricidad
108;No tiene conexion electrica;Santiago del Estero;3;Electricidad
109;No tiene conexion electrica;Tierra del Fuego;1;Electricidad
110;No tiene conexion electrica;Tucuman;1;Electricidad
111;Otro / vacio;Misiones;1;Electricidad
112;Banio seco;Cordoba;1;Cloaca
113;Banio seco;Jujuy;1;Cloaca
114;Banio seco;Rio Negro;3;Cloaca
115;Conexion formal a la red cloacal publica;Buenos Aires;51;Cloaca
116;Conexion formal a la red cloacal publica;Catamarca;1;Cloaca
117;Conexion formal a la red cloacal publica;Chaco;3;Cloaca
118;Conexion formal a la red cloacal publica;Ciudad Autonoma de Buenos Aires;13;Cloaca
119;Conexion formal a la red cloacal publica;Cordoba;2;Cloaca
120;Conexion formal a la red cloacal publica;Corrientes;3;Cloaca
121;Conexion formal a la red cloacal publica;Entre Rios;6;Cloaca
122;Conexion formal a la red cloacal publica;Formosa;1;Cloaca
123;Conexion formal a la red cloacal publica;Mendoza;2;Cloaca
124;Conexion formal a la red cloacal publica;Misiones;1;Cloaca
125;Conexion formal a la red cloacal publica;Neuquen;2;Cloaca
126;Conexion formal a la red cloacal publica;Salta;1;Cloaca
127;Conexion formal a la red cloacal publica;San Luis;1;Cloaca
128;Conexion formal a la red cloacal publica;Santa Fe;3;Cloaca
129;Conexion formal a la red cloacal publica;Tierra del Fuego;1;Cloaca
130;Conexion irregular a la red cloacal publica;Buenos Aires;43;Cloaca
131;Conexion irregular a la red cloacal publica;Catamarca;2;Cloaca
132;Conexion irregular a la red cloacal publica;Chaco;1;Cloaca
133;Conexion irregular a la red cloacal publica;Chubut;7;Cloaca
134;Conexion irregular a la red cloacal publica;Ciudad Autonoma de Buenos Aires;5;Cloaca
135;Conexion irregular a la red cloacal publica;Cordoba;1;Cloaca
136;Conexion irregular a la red cloacal publica;Corrientes;1;Cloaca
137;Conexion irregular a la red cloacal publica;Entre Rios;6;Cloaca
138;Conexion irregular a la red cloacal publica;Formosa;1;Cloaca
139;Conexion irregular a la red cloacal publica;Jujuy;1;Cloaca
140;Conexion irregular a la red cloacal publica;Mendoza;14;Cloaca
141;Conexion irregular a la red cloacal publica;Misiones;1;Cloaca
142;Conexion irregular a la red cloacal publica;Neuquen;6;Cloaca
143;Conexion irregular a la red cloacal publica;Rio Negro;2;Cloaca
144;Conexion irregular a la red cloacal publica;Salta;5;Cloaca
145;Conexion irregular a la red cloacal publica;San Juan;1;Cloaca
146;Conexion irregular a la red cloacal publica;San Luis;3;Cloaca
147;Conexion irregular a la red cloacal publica;Santa Cruz;1;Cloaca
148;Conexion irregular a la red cloacal publica;Santa Fe;4;Cloaca
149;Conexion irregular a la red cloacal publica;Tierra del Fuego;3;Cloaca
150;Conexion irregular a la red cloacal publica;Tucuman;4;Cloaca
