"","Tipo","Provincia","Cantidad","Servicio"
"1","Acceso formal con consumo limitado","Buenos Aires",3,"Electricidad"
"2","Acceso formal con consumo limitado","Chubut",1,"Electricidad"
"3","Acceso formal con consumo limitado","Córdoba",1,"Electricidad"
"4","Acceso formal con consumo limitado","Entre Ríos",4,"Electricidad"
"5","Acceso formal con consumo limitado","Mendoza",1,"Electricidad"
"6","Acceso formal con consumo limitado","Misiones",31,"Electricidad"
"7","Acceso formal con consumo limitado","Río Negro",1,"Electricidad"
"8","Acceso formal con consumo limitado","Salta",2,"Electricidad"
"9","Acceso formal con consumo limitado","Santa Fe",1,"Electricidad"
"10","Conexión a la red pública con medidor compartido","Buenos Aires",1,"Electricidad"
"11","Conexión a la red pública con medidor compartido","Chubut",2,"Electricidad"
"12","Conexión a la red pública con medidor compartido","Ciudad Autónoma de Buenos Aires",1,"Electricidad"
"13","Conexión a la red pública con medidor compartido","Jujuy",2,"Electricidad"
"14","Conexión a la red pública con medidor compartido","Mendoza",2,"Electricidad"
"15","Conexión a la red pública con medidor compartido","Río Negro",2,"Electricidad"
"16","Conexión a la red pública con medidor comunitario","Buenos Aires",35,"Electricidad"
"17","Conexión a la red pública con medidor comunitario","Chaco",1,"Electricidad"
"18","Conexión a la red pública con medidor comunitario","Ciudad Autónoma de Buenos Aires",5,"Electricidad"
"19","Conexión a la red pública con medidor comunitario","Córdoba",17,"Electricidad"
"20","Conexión a la red pública con medidor comunitario","Entre Ríos",8,"Electricidad"
"21","Conexión a la red pública con medidor comunitario","Jujuy",17,"Electricidad"
"22","Conexión a la red pública con medidor comunitario","Mendoza",9,"Electricidad"
"23","Conexión a la red pública con medidor comunitario","Misiones",5,"Electricidad"
"24","Conexión a la red pública con medidor comunitario","Neuquén",3,"Electricidad"
"25","Conexión a la red pública con medidor comunitario","Río Negro",8,"Electricidad"
"26","Conexión a la red pública con medidor comunitario","Salta",6,"Electricidad"
"27","Conexión a la red pública con medidor comunitario","San Luis",2,"Electricidad"
"28","Conexión a la red pública con medidor comunitario","Santa Fe",9,"Electricidad"
"29","Conexión a la red pública con medidor comunitario","Tierra del Fuego",1,"Electricidad"
"30","Conexión a la red pública con medidor comunitario","Tucumán",5,"Electricidad"
"31","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","Buenos Aires",589,"Electricidad"
"32","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","Catamarca",18,"Electricidad"
"33","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","Chaco",41,"Electricidad"
"34","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","Chubut",7,"Electricidad"
"35","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","Ciudad Autónoma de Buenos Aires",7,"Electricidad"
"36","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","Córdoba",63,"Electricidad"
"37","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","Corrientes",13,"Electricidad"
"38","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","Entre Ríos",54,"Electricidad"
"39","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","Formosa",43,"Electricidad"
"40","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","Jujuy",19,"Electricidad"
"41","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","La Pampa",2,"Electricidad"
"42","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","Mendoza",43,"Electricidad"
"43","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","Misiones",63,"Electricidad"
"44","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","Neuquén",15,"Electricidad"
"45","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","Río Negro",34,"Electricidad"
"46","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","Salta",59,"Electricidad"
"47","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","San Juan",20,"Electricidad"
"48","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","San Luis",6,"Electricidad"
"49","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","Santa Fe",66,"Electricidad"
"50","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","Santiago del Estero",29,"Electricidad"
"51","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","Tierra del Fuego",24,"Electricidad"
"52","Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.","Tucumán",163,"Electricidad"
"53","Conexión formal con medidor prepago","Buenos Aires",8,"Electricidad"
"54","Conexión irregular a la red pública","Buenos Aires",1088,"Electricidad"
"55","Conexión irregular a la red pública","Catamarca",14,"Electricidad"
"56","Conexión irregular a la red pública","Chaco",206,"Electricidad"
"57","Conexión irregular a la red pública","Chubut",40,"Electricidad"
"58","Conexión irregular a la red pública","Ciudad Autónoma de Buenos Aires",44,"Electricidad"
"59","Conexión irregular a la red pública","Córdoba",110,"Electricidad"
"60","Conexión irregular a la red pública","Corrientes",106,"Electricidad"
"61","Conexión irregular a la red pública","Entre Ríos",102,"Electricidad"
"62","Conexión irregular a la red pública","Formosa",40,"Electricidad"
"63","Conexión irregular a la red pública","Jujuy",50,"Electricidad"
"64","Conexión irregular a la red pública","La Pampa",1,"Electricidad"
"65","Conexión irregular a la red pública","La Rioja",12,"Electricidad"
"66","Conexión irregular a la red pública","Mendoza",185,"Electricidad"
"67","Conexión irregular a la red pública","Misiones",166,"Electricidad"
"68","Conexión irregular a la red pública","Neuquén",65,"Electricidad"
"69","Conexión irregular a la red pública","Río Negro",105,"Electricidad"
"70","Conexión irregular a la red pública","Salta",80,"Electricidad"
"71","Conexión irregular a la red pública","San Juan",16,"Electricidad"
"72","Conexión irregular a la red pública","San Luis",15,"Electricidad"
"73","Conexión irregular a la red pública","Santa Cruz",6,"Electricidad"
"74","Conexión irregular a la red pública","Santa Fe",254,"Electricidad"
"75","Conexión irregular a la red pública","Santiago del Estero",20,"Electricidad"
"76","Conexión irregular a la red pública","Tierra del Fuego",9,"Electricidad"
"77","Conexión irregular a la red pública","Tucumán",32,"Electricidad"
"78","Conexión regular a la red pública con medidores domiciliarios pero sin boleta/factura","Chaco",3,"Electricidad"
"79","Conexión regular a la red pública con medidores domiciliarios pero sin boleta/factura","Chubut",1,"Electricidad"
"80","Conexión regular a la red pública con medidores domiciliarios pero sin boleta/factura","Corrientes",1,"Electricidad"
"81","Conexión regular a la red pública con medidores domiciliarios pero sin boleta/factura","Formosa",2,"Electricidad"
"82","Conexión regular a la red pública con medidores domiciliarios pero sin boleta/factura","Jujuy",1,"Electricidad"
"83","Conexión regular a la red pública con medidores domiciliarios pero sin boleta/factura","La Rioja",1,"Electricidad"
"84","Conexión regular a la red pública con medidores domiciliarios pero sin boleta/factura","Mendoza",6,"Electricidad"
"85","Conexión regular a la red pública con medidores domiciliarios pero sin boleta/factura","Neuquén",1,"Electricidad"
"86","Conexión regular a la red pública con medidores domiciliarios pero sin boleta/factura","Río Negro",1,"Electricidad"
"87","Conexión regular a la red pública con medidores domiciliarios pero sin boleta/factura","Salta",1,"Electricidad"
"88","Conexión regular a la red pública con medidores domiciliarios pero sin boleta/factura","Santa Fe",1,"Electricidad"
"89","Conexión regular a la red pública con medidores domiciliarios pero sin boleta/factura","Tierra del Fuego",1,"Electricidad"
"90","Conexión regular a la red pública con medidores domiciliarios pero sin boleta/factura","Tucumán",2,"Electricidad"
"91","Energía solar","Salta",1,"Electricidad"
"92","Generador eléctrico a combustión","Salta",1,"Electricidad"
"93","No tiene conexión eléctrica","Buenos Aires",2,"Electricidad"
"94","No tiene conexión eléctrica","Chaco",12,"Electricidad"
"95","No tiene conexión eléctrica","Chubut",5,"Electricidad"
"96","No tiene conexión eléctrica","Córdoba",3,"Electricidad"
"97","No tiene conexión eléctrica","Entre Ríos",1,"Electricidad"
"98","No tiene conexión eléctrica","Formosa",1,"Electricidad"
"99","No tiene conexión eléctrica","Jujuy",3,"Electricidad"
"100","No tiene conexión eléctrica","La Pampa",1,"Electricidad"
"101","No tiene conexión eléctrica","La Rioja",1,"Electricidad"
"102","No tiene conexión eléctrica","Mendoza",1,"Electricidad"
"103","No tiene conexión eléctrica","Misiones",2,"Electricidad"
"104","No tiene conexión eléctrica","Neuquén",1,"Electricidad"
"105","No tiene conexión eléctrica","Río Negro",1,"Electricidad"
"106","No tiene conexión eléctrica","Salta",4,"Electricidad"
"107","No tiene conexión eléctrica","Santa Fe",10,"Electricidad"
"108","No tiene conexión eléctrica","Santiago del Estero",3,"Electricidad"
"109","No tiene conexión eléctrica","Tierra del Fuego",1,"Electricidad"
"110","No tiene conexión eléctrica","Tucumán",1,"Electricidad"
"111","Otro / vacío","Misiones",1,"Electricidad"
"112","Baño seco","Córdoba",1,"Cloaca"
"113","Baño seco","Jujuy",1,"Cloaca"
"114","Baño seco","Río Negro",3,"Cloaca"
"115","Conexión formal a la red cloacal pública","Buenos Aires",51,"Cloaca"
"116","Conexión formal a la red cloacal pública","Catamarca",1,"Cloaca"
"117","Conexión formal a la red cloacal pública","Chaco",3,"Cloaca"
"118","Conexión formal a la red cloacal pública","Ciudad Autónoma de Buenos Aires",13,"Cloaca"
"119","Conexión formal a la red cloacal pública","Córdoba",2,"Cloaca"
"120","Conexión formal a la red cloacal pública","Corrientes",3,"Cloaca"
"121","Conexión formal a la red cloacal pública","Entre Ríos",6,"Cloaca"
"122","Conexión formal a la red cloacal pública","Formosa",1,"Cloaca"
"123","Conexión formal a la red cloacal pública","Mendoza",2,"Cloaca"
"124","Conexión formal a la red cloacal pública","Misiones",1,"Cloaca"
"125","Conexión formal a la red cloacal pública","Neuquén",2,"Cloaca"
"126","Conexión formal a la red cloacal pública","Salta",1,"Cloaca"
"127","Conexión formal a la red cloacal pública","San Luis",1,"Cloaca"
"128","Conexión formal a la red cloacal pública","Santa Fe",3,"Cloaca"
"129","Conexión formal a la red cloacal pública","Tierra del Fuego",1,"Cloaca"
"130","Conexión irregular a la red cloacal pública","Buenos Aires",43,"Cloaca"
"131","Conexión irregular a la red cloacal pública","Catamarca",2,"Cloaca"
"132","Conexión irregular a la red cloacal pública","Chaco",1,"Cloaca"
"133","Conexión irregular a la red cloacal pública","Chubut",7,"Cloaca"
"134","Conexión irregular a la red cloacal pública","Ciudad Autónoma de Buenos Aires",5,"Cloaca"
"135","Conexión irregular a la red cloacal pública","Córdoba",1,"Cloaca"
